Name;Conductivity;Resistance;Capacity;Density;GWP;PERT;PENRT
SICHTBETONDECKE;9.0;;1.0;2400.0;0.0;0.0;0.0
DIRECT;;0.0001;;;0.0;0.0;0.0
HOLZFASER;0.151;;2.1;50.0;0.0;0.0;0.0
SCREED;5.04;;1.0;2000.0;243.0;216.0;1515.0
SUBSONIC;0.162;;1.0;96.0;121.79;175.66;1137.14
KALKZEMENTPUTZ;3.132;;1.0;1800.0;0.0;0.0;0.0
MAUERWERK;3.564;;0.94;2000.0;0.0;0.0;0.0
AUSSENPUTZ_KALK;3.24;;1.0;1500.0;0.0;0.0;0.0
MINERALWOLLE;0.126;;0.6;100.0;0.0;0.0;0.0
ZEMENTESTRICH;5.04;;1.0;2000.0;0.0;0.0;0.0
LEICHTBAUPLATTE;0.648;;1.0;600.0;0.0;0.0;0.0
LEICHTBETON_NEU;0.684;;0.948;800.0;0.0;0.0;0.0
NORMALBETON;7.2;;1.0;2400.0;0.0;0.0;0.0
HOLZ;0.252;;1.6;500.0;0.0;0.0;0.0
BS_HOLZ;0.432;;1.6;410.0;0.0;0.0;0.0
GELOCHTER_ZIEGEL;0.396;;0.94;600.0;0.0;0.0;0.0
HOCHLOCHZIEGEL;7.2;;0.924;2000.0;0.0;0.0;0.0
