Name;bui;WeatherFile;IntGain;Tset;WindowRatio;IntWall_L;IntWall_H;ExtWall;Floor;Ceiling;Laibung;WindowID;ActiveLayer;THB
TRNPY_TEMPLATE_0;LB;MUC_2020.epw;9.0;19.5;0.165;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_1;LB;MUC_2020.epw;3.9;19.0;0.231;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_2;LB;MUC_2020.epw;3.7;12.0;0.181;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_3;LB;MUC_2020.epw;3.1;19.5;0.128;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_4;LB;MUC_2020.epw;8.2;19.0;0.223;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_5;LB;MUC_2020.epw;8.6;21.0;0.212;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_6;LB;MUC_2020.epw;4.0;23.5;0.168;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_7;LB;MUC_2020.epw;0.5;23.5;0.209;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_8;LB;MUC_2020.epw;2.2;22.0;0.215;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_9;LB;MUC_2020.epw;1.6;20.5;0.166;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_10;LB;MUC_2050.epw;9.0;19.5;0.165;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_11;LB;MUC_2050.epw;3.9;19.0;0.231;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_12;LB;MUC_2050.epw;3.7;12.0;0.181;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_13;LB;MUC_2050.epw;3.1;19.5;0.128;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_14;LB;MUC_2050.epw;8.2;19.0;0.223;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_15;LB;MUC_2050.epw;8.6;21.0;0.212;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_16;LB;MUC_2050.epw;4.0;23.5;0.168;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_17;LB;MUC_2050.epw;0.5;23.5;0.209;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_18;LB;MUC_2050.epw;2.2;22.0;0.215;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_19;LB;MUC_2050.epw;1.6;20.5;0.166;LB_IW_L;LB_IW_H;LB_AW;BO;DA;0.5;3307;0;0.018
TRNPY_TEMPLATE_20;MH;MUC_2020.epw;9.0;19.5;0.165;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_21;MH;MUC_2020.epw;3.9;19.0;0.231;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_22;MH;MUC_2020.epw;3.7;12.0;0.181;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_23;MH;MUC_2020.epw;3.1;19.5;0.128;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_24;MH;MUC_2020.epw;8.2;19.0;0.223;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_25;MH;MUC_2020.epw;8.6;21.0;0.212;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_26;MH;MUC_2020.epw;4.0;23.5;0.168;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_27;MH;MUC_2020.epw;0.5;23.5;0.209;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_28;MH;MUC_2020.epw;2.2;22.0;0.215;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_29;MH;MUC_2020.epw;1.6;20.5;0.166;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
