Name;Conductivity;Resistance;Capacity;Density;GWP;PERT;PENRT
SICHTBETONDECKE;9;;1;2400;0;0;0
SCREED;5.04;;1;2000;243;216;1515
SUBSONIC;0.162;;1;96;121.79;175.66;1137.14
DIRECT;;0.0001;;;0;0;0
HOLZFASER;0.151;;2.1;50;0;0;0
LEICHTBETON_NEU;0.684;;0.948;800;0;0;0
NORMALBETON;7.2;;1;2400;0;0;0
HOLZ;0.252;;1.6;500;0;0;0
LEICHTBAUPLATTE;0.648;;1;600;0;0;0
BS_HOLZ;0.432;;1.6;410;0;0;0
MINERALWOLLE;0.126;;0.6;100;0;0;0
LEHMSPACHTEL;3.24;;1;1500;242;216;1515
GELOCHTER_ZIEGEL;0.396;;0.94;600;0;0;0
AUSSENPUTZ_KALK;3.24;;1;1500;0;0;0
HOCHLOCHZIEGEL;7.2;;0.924;2000;0;0;0
ZEMENTESTRICH;5.04;;1;2000;0;0;0
FIBO_Sperrholz;0.54;;1.6;790;0;0;0
OSB;0.468;;1.7;550;0;0;0
MAUERWERK;3.564;;0.94;2000;0;0;0
KALKZEMENTPUTZ;3.132;;1;1800;0;0;0
LINOLEUM;0.612;;1.4;1200;0;0;0
TEPPICH;0.216;;1.3;200;0;0;0
